type,code,message,context,selector
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_10.C32-C31-C33-C38-SCR34-G206,Interfering with a user agent's ability to zoom may be a failure of this Success Criterion.,"\u003Cmeta name=\""viewport\"" content=\""width=device-width- initial-scale=1- minimum-scale=1\"">""",meta
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"\u003Ca class=\""component skip-navigation -no-standard-margin\"" href=\""#skiptomaincontent\"" role=\""button\"" aria-label=\""skip to main content\"" tabindex=\""0\"">...\u003C/a>""",a
Error,WCAG2AA.Principle2.Guideline2_4.2_4_1.G1-G123-G124.NoSuchID,"This link points to a named anchor \""hamburger-nav\"" within the document- but no anchor exists with that name.","\u003Ca href=\""#hamburger-nav\"" class=\""hamburger-button at-element-click-tracking\"" aria-label=\""Open Navigation Menu- use escape key to exit modal window.\"" role=\""button\"" aria-haspopup=\""true\"">...\u003C/a>""",a
Error,WCAG2AA.Principle2.Guideline2_4.2_4_1.G1-G123-G124.NoSuchID,"This link points to a named anchor \""search-modal\"" within the document- but no anchor exists with that name.","\u003Ca href=\""#search-modal\"" class=\""search-button\"" aria-label=\""Search- use escape key to exit modal window.\"" role=\""button\"" aria-haspopup=\""true\"">...\u003C/a>""",a
Error,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent,Anchor element found with a valid href attribute- but no link content has been supplied.,"\u003Ca href=\""/personal\"" class=\""header-logo-link\"" data-speedbump-enabled=\""false\"">...\u003C/a>""",a
Error,WCAG2AA.Principle2.Guideline2_4.2_4_1.G1-G123-G124.NoSuchID,"This link points to a named anchor \""login-modal\"" within the document- but no anchor exists with that name.","\u003Ca href=\""#login-modal\"" class=\""header-link -login\"" aria-label=\""Log In- use escape key to exit modal window.\"" aria-haspopup=\""true\"" role=\""button\"">...\u003C/a>""",a
Warning,WCAG2AA.Principle2.Guideline2_5.2_5_3.F96,Accessible name for this element does not contain the visible label text. Check that for user interface components with labels that include text or images of text- the name contains the text that is presented visually.,"\u003Ca href=\""#login-modal\"" class=\""header-link -login\"" aria-label=\""Log In- use escape key to exit modal window.\"" aria-haspopup=\""true\"" role=\""button\"">...\u003C/a>""",a
Error,WCAG2AA.Principle2.Guideline2_4.2_4_1.G1-G123-G124.NoSuchID,"This link points to a named anchor \""info-modal\"" within the document- but no anchor exists with that name.","\u003Ca href=\""#info-modal\"" class=\""header-link -icon\"" data-speedbump-enabled=\""false\"" role=\""button\"" aria-label=\""- use escape key to exit modal window.\"" aria-haspopup=\""true\"">...\u003C/a>""",a
Error,WCAG2AA.Principle2.Guideline2_4.2_4_1.G1-G123-G124.NoSuchID,"This link points to a named anchor \""search-modal\"" within the document- but no anchor exists with that name.","\u003Ca href=\""#search-modal\"" class=\""header-link -icon\"" data-speedbump-enabled=\""false\"" role=\""button\"" aria-label=\""Search- use escape key to exit modal window.\"" aria-haspopup=\""true\"">...\u003C/a>""",a
Error,WCAG2AA.Principle2.Guideline2_4.2_4_1.G1-G123-G124.NoSuchID,"This link points to a named anchor \""search-modal\"" within the document- but no anchor exists with that name.","\u003Ca class=\""navigation-option search\"" href=\""#search-modal\"" aria-label=\""Search- use escape key to exit modal window.\"" aria-haspopup=\""true\"" role=\""button\"">...\u003C/a>""",a
