"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img jstcache=\"94\" style=\"display:none\">","#omnibox-singlebox > div:nth-child(1) > div:nth-child(1) > button > img:nth-child(2)"
"error","WCAG2AA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","<form id=\"searchbox_form\" onsubmit=\"return false;\" class=\"initial-searchbox-wrapper\"> <div class=\"gstl_50 sbib_a\"><d...</form>","#searchbox_form"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button jstcache=\"668\" style=\"display:none\"></button>","#passive-assist > div > div:nth-child(2) > div > div > div:nth-child(2) > div:nth-child(1) > button:nth-child(5)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button jstcache=\"670\" style=\"display:none\"></button>","#passive-assist > div > div:nth-child(2) > div > div > div:nth-child(2) > div:nth-child(2) > button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button jstcache=\"562\" class=\"iu4b7ySmx7z__explore-bar-categorical-button\" style=\"display:none\" jsan=\"7.iu4b7ySmx7z__explore-bar-categorical-button\"> <div jstcache=\"563\" class=\"iu4...</button>","#explore-bar-top-center > div > div > div > button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button jstcache=\"238\" class=\"\" style=\"display:none\"> <div class=\"widget-runway-card...</button>","#runway > div > div > div:nth-child(5) > button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button jstcache=\"161\" class=\"\" style=\"display:none\"></button>","#fineprint > div > div > button:nth-child(4)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button jstcache=\"163\" class=\"\" style=\"display:none\"></button>","#fineprint > div > div > button:nth-child(6)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a target=\"_blank\" jstcache=\"167\" jsaction=\"log.outbound;clickmod:log.outbound;contextmenu:log.outbound_contextmenu\"><span jstcache=\"168\"></span></a>","#fineprint > div > div > span:nth-child(8) > span:nth-child(1) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a target=\"_blank\" jstcache=\"174\" jsaction=\"log.outbound;clickmod:log.outbound;contextmenu:log.outbound_contextmenu\"><span jstcache=\"175\"></span></a>","#fineprint > div > div > span:nth-child(8) > span:nth-child(2) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a target=\"_blank\" jstcache=\"180\" jsaction=\"log.outbound;clickmod:log.outbound;contextmenu:log.outbound_contextmenu\"><span jstcache=\"181\"></span></a>","#fineprint > div > div > span:nth-child(8) > span:nth-child(3) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a target=\"_blank\" jstcache=\"186\" jsaction=\"log.outbound;clickmod:log.outbound;contextmenu:log.outbound_contextmenu\"><span jstcache=\"187\"></span></a>","#fineprint > div > div > span:nth-child(8) > span:nth-child(4) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a target=\"_blank\" jstcache=\"192\" jsaction=\"log.outbound;clickmod:log.outbound;contextmenu:log.outbound_contextmenu\"><span jstcache=\"193\"></span></a>","#fineprint > div > div > span:nth-child(8) > span:nth-child(5) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a target=\"_blank\" jstcache=\"200\" jsaction=\"log.outbound;clickmod:log.outbound;contextmenu:log.outbound_contextmenu\" style=\"display:none\" jsan=\"0.target,22.jsaction\"></a>","#fineprint > div > div > span:nth-child(10) > span > a:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a target=\"_blank\" jstcache=\"201\" style=\"display:none\" jsan=\"0.target\"><span jstcache=\"202\"></span><im...</a>","#fineprint > div > div > span:nth-child(10) > span > a:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img jstcache=\"203\" class=\"fineprint-logo fineprint-item\" style=\"display:none\" jsan=\"7.fineprint-logo,7.fineprint-item\">","#fineprint > div > div > span:nth-child(10) > span > a:nth-child(2) > img"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img jstcache=\"206\" class=\"fineprint-logo fineprint-item\" style=\"display:none\" jsan=\"7.fineprint-logo,7.fineprint-item\">","#fineprint > div > div > span:nth-child(10) > span > span > img"
